epoch,sensitivity_at_specificity
0,0.8533822298049927
1,0.9539904594421387
2,0.9691025614738464
3,0.9795023202896118
4,0.9840289950370789
5,0.983727216720581
6,0.9888806343078613
7,0.9884859919548035
8,0.9923626780509949
9,0.9920377135276794
10,0.9924555420875549
11,0.9915502071380615
12,0.9919912815093994
13,0.9957519173622131
14,0.995566189289093
15,0.9959608316421509
16,0.9956822395324707
17,0.9954501390457153
18,0.9957519173622131
19,0.9957751035690308
20,0.9958447217941284
21,0.994939386844635
22,0.9952644109725952
23,0.9957054853439331
24,0.9950554966926575
25,0.9951251149177551
26,0.9950090646743774
27,0.9954037070274353
28,0.9947304725646973
29,0.9950322508811951
30,0.9949626326560974
31,0.9954501390457153
32,0.9949626326560974
33,0.9950554966926575
34,0.9947769045829773
35,0.9951947927474976
36,0.9951251149177551
37,0.9950786828994751
38,0.9950090646743774
39,0.9950322508811951
40,0.9945448040962219
41,0.9948465824127197
42,0.9951019287109375
43,0.9961465001106262
44,0.9948233366012573
45,0.994985818862915
46,0.9950554966926575
47,0.9942894577980042
48,0.9954501390457153
49,0.9948001503944397
50,0.9944055080413818
51,0.9954501390457153
52,0.9945679903030396
53,0.9944519400596619
54,0.9951483607292175
55,0.9951715469360352
56,0.9945679903030396
57,0.9951251149177551
58,0.9946840405464172
59,0.9948697686195374
60,0.9951483607292175
61,0.9947304725646973
62,0.9943358302116394
63,0.9946144223213196
64,0.9943358302116394
65,0.9948465824127197
66,0.9950090646743774
67,0.9948233366012573
68,0.9946376085281372
69,0.9951019287109375
70,0.9944751262664795
71,0.994010865688324
72,0.9948233366012573
73,0.9951483607292175
74,0.9947072863578796
75,0.9944983720779419
76,0.9946144223213196
77,0.9937322735786438
78,0.994985818862915
79,0.9946840405464172
80,0.9951715469360352
81,0.9941965937614441
82,0.9947537183761597
83,0.9948697686195374
84,0.9947537183761597
85,0.9944286942481995
86,0.9945448040962219
87,0.9944983720779419
88,0.9947537183761597
89,0.994591236114502
90,0.9947769045829773
91,0.9947304725646973
92,0.9944055080413818
93,0.9946840405464172
94,0.9950322508811951
95,0.9949626326560974
96,0.9942430257797241
97,0.9948001503944397
98,0.9947769045829773
99,0.9943822622299194
100,0.9945679903030396
101,0.9943590760231018
102,0.993964433670044
103,0.994985818862915
104,0.9946376085281372
105,0.9948001503944397
106,0.9943822622299194
107,0.9941733479499817
108,0.9944055080413818
109,0.9945679903030396
110,0.9947072863578796
111,0.9948001503944397
112,0.9944286942481995
113,0.9946608543395996
114,0.9947769045829773
115,0.9943822622299194
116,0.9953108429908752
117,0.9943590760231018
118,0.9946608543395996
119,0.9944519400596619
120,0.9947537183761597
121,0.9945215582847595
122,0.9948930144309998
123,0.9945679903030396
124,0.9950554966926575
125,0.9939412474632263
126,0.9948697686195374
127,0.9953108429908752
128,0.9941269159317017
129,0.994591236114502
130,0.9946608543395996
131,0.9942430257797241
132,0.9938715696334839
133,0.9945448040962219
134,0.9950554966926575
135,0.9948001503944397
136,0.9947537183761597
137,0.9952179789543152
138,0.9944519400596619
139,0.9944519400596619
