epoch,specificity_at_sensitivity
0,0.8016189932823181
1,0.9117149710655212
2,0.939773678779602
3,0.9499976634979248
4,0.959263265132904
5,0.9636473655700684
6,0.9681143164634705
7,0.971234917640686
8,0.9732744097709656
9,0.9759174585342407
10,0.9785505533218384
11,0.9795487523078918
12,0.9816014766693115
13,0.982553243637085
14,0.984062135219574
15,0.9853256344795227
16,0.9857235550880432
17,0.986632227897644
18,0.9873651266098022
19,0.9883268475532532
20,0.9890099763870239
21,0.9897030591964722
22,0.9906846880912781
23,0.9911754727363586
24,0.991152286529541
25,0.991672933101654
26,0.9924588799476624
27,0.9928535223007202
28,0.993523359298706
29,0.9933575391769409
30,0.9938085675239563
31,0.9939412474632263
32,0.9943590760231018
33,0.9948631525039673
34,0.9949460625648499
35,0.9951151609420776
36,0.9952245950698853
37,0.9954667091369629
38,0.9955131411552429
39,0.9961000680923462
40,0.9960768818855286
41,0.9962559342384338
42,0.9964847564697266
43,0.9965245723724365
44,0.9966837763786316
45,0.9966572523117065
46,0.996942400932312
47,0.9970120787620544
48,0.9972574710845947
49,0.9974000453948975
50,0.9976189136505127
51,0.99748295545578
52,0.9976653456687927
53,0.9976985454559326
54,0.9976885914802551
55,0.9979439377784729
56,0.997930645942688
57,0.9980931878089905
58,0.997910737991333
59,0.9980500340461731
60,0.9982191920280457
61,0.998378336429596
62,0.9983551502227783
63,0.9984115362167358
64,0.9984778165817261
65,0.9982556700706482
66,0.998517632484436
67,0.9984944462776184
68,0.9985408782958984
69,0.9987928867340088
70,0.998577356338501
71,0.9985972046852112
72,0.9988094568252563
73,0.9988094568252563
74,0.9988459348678589
75,0.9987298846244812
76,0.9988492727279663
77,0.9986967444419861
78,0.9988625049591064
79,0.9990084171295166
80,0.999011754989624
81,0.9989587068557739
82,0.9990648031234741
83,0.998985230922699
84,0.9989222288131714
85,0.9990217089653015
86,0.9990847110748291
87,0.999031662940979
88,0.9990880489349365
89,0.998985230922699
90,0.9990946650505066
91,0.999071478843689
92,0.999098002910614
93,0.9991477131843567
94,0.9992306232452393
95,0.9992538690567017
96,0.9992140531539917
97,0.9991742372512817
98,0.9992240071296692
99,0.9991576671600342
100,0.9992439150810242
101,0.9991211891174316
102,0.9991642832756042
103,0.9993997812271118
104,0.9992505311965942
105,0.9993400573730469
106,0.9993268251419067
107,0.9993201494216919
108,0.9993466734886169
109,0.9993301033973694
110,0.999393105506897
111,0.9993599653244019
112,0.9993831515312195
113,0.9993069171905518
114,0.9993433952331543
115,0.9993234872817993
116,0.9993334412574768
117,0.9993765354156494
118,0.999485969543457
119,0.9993035793304443
120,0.999413013458252
121,0.9995092153549194
122,0.999485969543457
123,0.9994494915008545
124,0.9995324015617371
125,0.9993798732757568
126,0.9994329214096069
127,0.9995423555374146
128,0.9994528293609619
129,0.999485969543457
130,0.9994263052940369
131,0.9994462132453918
132,0.9994362592697144
133,0.9994627833366394
134,0.9994494915008545
135,0.9994329214096069
136,0.9994925856590271
137,0.9995224475860596
138,0.9994097352027893
139,0.9994693994522095
