epoch,recall
0,0.0726124718785286
1,0.23907795548439026
2,0.3083244264125824
3,0.34439852833747864
4,0.37151214480400085
5,0.39530619978904724
6,0.41364502906799316
7,0.42922142148017883
8,0.44379961490631104
9,0.4565903842449188
10,0.4773666262626648
11,0.4854449927806854
12,0.4982357621192932
13,0.5106318593025208
14,0.5236547589302063
15,0.5315938591957092
16,0.5389294028282166
17,0.5502808690071106
18,0.5593574643135071
19,0.5689911246299744
20,0.5776962637901306
21,0.589024543762207
22,0.5987975597381592
23,0.605042040348053
24,0.6110079288482666
25,0.6162774562835693
26,0.6243094205856323
27,0.6359859108924866
28,0.6429499983787537
29,0.6472445130348206
30,0.6552764773368835
31,0.6572728753089905
32,0.6631227135658264
33,0.6712474822998047
34,0.6750081181526184
35,0.67916339635849
36,0.6864060759544373
37,0.6884488463401794
38,0.6975254416465759
39,0.6992664337158203
40,0.7066715955734253
41,0.7107340097427368
42,0.7150982022285461
43,0.7197177410125732
44,0.7267050743103027
45,0.7255443334579468
46,0.7321138381958008
47,0.7363155484199524
48,0.7407029271125793
49,0.7478759288787842
50,0.7484794855117798
51,0.7492223381996155
52,0.7572078704833984
53,0.7547703981399536
54,0.7576489448547363
55,0.7669343948364258
56,0.7709968090057373
57,0.7687914967536926
58,0.7675611972808838
59,0.7730628252029419
60,0.7772412896156311
61,0.7821393609046936
62,0.7861553430557251
63,0.7893820405006409
64,0.7898463010787964
65,0.789660632610321
66,0.7891963124275208
67,0.7912855744361877
68,0.796972930431366
69,0.8060494661331177
70,0.8036120533943176
71,0.8026371002197266
72,0.8069548010826111
73,0.8109707832336426
74,0.8166813850402832
75,0.8076976537704468
76,0.8185152411460876
77,0.8151028156280518
78,0.8149867653846741
79,0.8232508301734924
80,0.8215330243110657
81,0.8244579434394836
82,0.8229954838752747
83,0.8240865468978882
84,0.8268489837646484
85,0.8296810388565063
86,0.8293792605400085
87,0.8272436261177063
88,0.8319792151451111
89,0.828822135925293
90,0.8339987993240356
91,0.8369701504707336
92,0.8344630599021912
93,0.8400111198425293
94,0.8402664661407471
95,0.8361576795578003
96,0.8404057621955872
97,0.8451645970344543
98,0.8456288576126099
99,0.8410093188285828
100,0.8444913625717163
101,0.8483448624610901
102,0.8467663526535034
103,0.8490644693374634
104,0.8493430614471436
105,0.8476020097732544
106,0.8513626456260681
107,0.8526626229286194
108,0.853312611579895
109,0.8608106374740601
110,0.8573517799377441
111,0.8578160405158997
112,0.859255313873291
113,0.8587910532951355
114,0.8576303720474243
115,0.8620177507400513
116,0.8598588705062866
117,0.8606017231941223
118,0.8671479821205139
119,0.8613445162773132
120,0.8595338463783264
121,0.866706907749176
122,0.8683550953865051
123,0.8674265146255493
124,0.869097888469696
125,0.8651283979415894
126,0.8679604530334473
127,0.8669854402542114
128,0.868076503276825
129,0.8700960874557495
130,0.8712335824966431
131,0.8705835938453674
132,0.8705371618270874
133,0.8718138933181763
134,0.8789869546890259
135,0.8703746795654297
136,0.874158501625061
137,0.8762709498405457
138,0.8700729012489319
139,0.8741353154182434
