epoch,precision
0,0.678966760635376
1,0.7417891025543213
2,0.7655772566795349
3,0.771583080291748
4,0.7762526273727417
5,0.7799304127693176
6,0.7859474420547485
7,0.7869759798049927
8,0.7876241207122803
9,0.7897293567657471
10,0.7932723760604858
11,0.7922412753105164
12,0.7971698045730591
13,0.7968484163284302
14,0.7992205619812012
15,0.8013717532157898
16,0.799228847026825
17,0.8022267818450928
18,0.8042186498641968
19,0.8040611743927002
20,0.8108301758766174
21,0.8109559416770935
22,0.8102971911430359
23,0.8150348663330078
24,0.8124517798423767
25,0.8145057559013367
26,0.8175710439682007
27,0.8208101391792297
28,0.821869432926178
29,0.8235467672348022
30,0.8242955207824707
31,0.8274592161178589
32,0.8278800249099731
33,0.8305138349533081
34,0.8325602412223816
35,0.8319210410118103
36,0.8339397311210632
37,0.8351496458053589
38,0.8375048637390137
39,0.8376807570457458
40,0.8419858813285828
41,0.8430255055427551
42,0.8440420031547546
43,0.8433479070663452
44,0.8486729860305786
45,0.8469730615615845
46,0.8490052819252014
47,0.8521115183830261
48,0.851402223110199
49,0.8553110361099243
50,0.8576178550720215
51,0.8549215793609619
52,0.8592992424964905
53,0.8575271368026733
54,0.8593470454216003
55,0.8634902238845825
56,0.8633704781532288
57,0.8630547523498535
58,0.8629103899002075
59,0.8651443123817444
60,0.8638955354690552
61,0.8679065704345703
62,0.8711511492729187
63,0.8708512783050537
64,0.8698486685752869
65,0.8735523223876953
66,0.8724114298820496
67,0.8749904036521912
68,0.8747228980064392
69,0.8778853416442871
70,0.8790533542633057
71,0.8780537247657776
72,0.8796942830085754
73,0.8816626071929932
74,0.8833454847335815
75,0.8803481459617615
76,0.8852179050445557
77,0.8836349248886108
78,0.8823100924491882
79,0.8870213627815247
80,0.8868562579154968
81,0.886393129825592
82,0.8861699104309082
83,0.886901319026947
84,0.8877894282341003
85,0.8891680836677551
86,0.8904840350151062
87,0.8869310021400452
88,0.8914979100227356
89,0.8878499865531921
90,0.891135036945343
91,0.891854465007782
92,0.8909901976585388
93,0.8927320241928101
94,0.894481897354126
95,0.8924235701560974
96,0.8944091796875
97,0.8981867432594299
98,0.8985692858695984
99,0.89388108253479
100,0.8977592587471008
101,0.8986181020736694
102,0.8977848887443542
103,0.8997343182563782
104,0.8975126147270203
105,0.8977649807929993
106,0.8995584845542908
107,0.9001592993736267
108,0.9018179178237915
109,0.9038438200950623
110,0.9026762843132019
111,0.9037393927574158
112,0.9041942358016968
113,0.9031320810317993
114,0.9021977782249451
115,0.9047363996505737
116,0.9032187461853027
117,0.9051688313484192
118,0.9087260365486145
119,0.9054858684539795
120,0.9051949381828308
121,0.9074249863624573
122,0.9082675576210022
123,0.9098590016365051
124,0.9098398685455322
125,0.9072496294975281
126,0.9088257551193237
127,0.9087104797363281
128,0.9082188010215759
129,0.9092276096343994
130,0.9114332795143127
131,0.9105985164642334
132,0.9097105860710144
133,0.9110227227210999
134,0.9150555729866028
135,0.9094525575637817
136,0.9118359088897705
137,0.9136633276939392
138,0.9091371893882751
139,0.913160502910614
